Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,95.400002,96.239998,95.120003,95.930000,95.302818,13800
2020-08-17,96.389999,96.910004,95.879997,96.860001,96.226746,25300
2020-08-18,96.570000,96.570000,95.610001,95.849998,95.223343,23300
2020-08-19,96.300003,97.209999,96.110001,96.129997,95.501511,17400
2020-08-20,95.500000,95.989998,95.000000,95.690002,95.064392,24500
2020-08-21,95.160004,95.459999,94.029999,94.400002,93.782822,50700
2020-08-24,95.099998,95.099998,94.070000,94.589996,93.971581,20200
2020-08-25,95.099998,95.160004,94.010002,95.029999,94.408707,12400
2020-08-26,95.190002,95.300003,94.199997,94.389999,93.772896,21700
2020-08-27,94.139999,94.760002,93.330002,93.690002,93.077469,17300
2020-08-28,94.360001,94.769997,93.879997,94.620003,94.001389,19200
2020-08-31,94.650002,94.650002,93.550003,93.839996,93.226479,31800
2020-09-01,93.930000,94.669998,93.699997,94.669998,94.051056,62000
2020-09-02,94.669998,95.260002,93.949997,95.139999,94.517990,18800
2020-09-03,94.970001,94.970001,91.940002,92.379997,91.776031,14900
2020-09-04,93.070000,93.500000,89.089996,91.610001,91.011063,47000
2020-09-08,90.040001,91.480003,89.889999,90.349998,89.759300,45200
2020-09-09,91.279999,92.000000,91.190002,91.680000,91.080612,11100
2020-09-10,91.949997,92.790001,91.000000,91.050003,90.454727,16500
2020-09-11,91.480003,91.529999,89.739998,90.250000,89.659958,25700
2020-09-14,91.660004,93.139999,91.129997,93.080002,92.471451,14700
2020-09-15,93.629997,93.959999,92.820000,93.029999,92.421776,10300
2020-09-16,93.230003,95.379997,93.230003,94.400002,93.782822,26200
2020-09-17,93.199997,94.330002,92.870003,94.080002,93.464920,12600
2020-09-18,94.239998,94.940002,93.529999,94.760002,94.140472,21500
2020-09-21,92.300003,93.550003,90.110001,90.970001,90.375252,32000
2020-09-22,91.000000,91.709999,89.790001,90.830002,90.236168,23700
2020-09-23,90.139999,91.000000,86.989998,86.989998,86.710526,23700
2020-09-24,86.989998,88.239998,86.029999,86.769997,86.491234,41200
2020-09-25,86.800003,88.580002,86.800003,88.139999,87.856834,53800
2020-09-28,89.870003,90.589996,89.669998,90.269997,89.979988,13700
2020-09-29,90.720001,90.959999,89.580002,90.580002,90.288994,54100
2020-09-30,91.190002,91.720001,89.820000,90.470001,90.179352,14100
2020-10-01,90.910004,91.860001,90.580002,91.860001,91.564880,80800
2020-10-02,90.000000,92.379997,90.000000,92.059998,91.764236,17300
2020-10-05,92.629997,94.970001,92.629997,94.949997,94.644951,95900
2020-10-06,95.739998,97.199997,94.650002,94.660004,94.355888,58700
2020-10-07,95.779999,97.320000,95.650002,97.250000,96.937569,13800
2020-10-08,97.959999,98.389999,97.410004,98.059998,97.744965,84000
2020-10-09,98.959999,99.050003,98.349998,98.800003,98.482590,15700
2020-10-12,99.070000,99.160004,98.339996,99.070000,98.751717,15900
2020-10-13,98.199997,99.040001,98.199997,98.970001,98.652039,8000
2020-10-14,99.309998,99.309998,97.500000,97.610001,97.296410,13600
2020-10-15,96.379997,98.250000,96.199997,98.239998,97.924385,23900
2020-10-16,98.949997,98.949997,98.019997,98.040001,97.725029,14000
2020-10-19,98.709999,98.980003,96.860001,97.029999,96.718269,10200
2020-10-20,97.570000,97.570000,96.709999,96.739998,96.429199,13400
2020-10-21,97.239998,97.239998,95.690002,95.809998,95.502190,7600
2020-10-22,96.489998,97.290001,95.370003,97.290001,96.977440,11300
2020-10-23,97.639999,97.949997,97.110001,97.889999,97.575508,10800
2020-10-26,96.470001,97.000000,94.809998,95.519997,95.213120,16900
2020-10-27,95.760002,95.760002,94.870003,95.019997,94.714729,16600
2020-10-28,92.699997,93.570000,92.040001,92.300003,92.003471,15500
2020-10-29,92.300003,93.870003,91.489998,93.500000,93.199615,32400
2020-10-30,93.070000,93.070000,91.019997,91.790001,91.495110,23300
2020-11-02,92.320000,93.510002,92.320000,93.480003,93.179680,53700
2020-11-03,94.980003,96.779999,94.050003,96.540001,96.229851,29500
2020-11-04,96.190002,96.919998,95.550003,96.110001,95.801231,33700
2020-11-05,97.389999,99.110001,97.279999,98.879997,98.562325,206300
2020-11-06,98.650002,98.650002,97.430000,97.430000,97.116989,13200
2020-11-09,101.440002,102.870003,100.000000,100.059998,99.738533,39900
2020-11-10,100.900002,102.779999,100.500000,102.269997,101.941437,41700
2020-11-11,103.029999,103.150002,101.570000,102.860001,102.529541,22400
2020-11-12,102.830002,102.830002,101.070000,101.680000,101.353333,16700
2020-11-13,102.489998,103.949997,102.489998,103.440002,103.107681,36700
2020-11-16,105.370003,105.839996,104.669998,105.839996,105.499962,68800
2020-11-17,105.730003,106.900002,104.349998,106.320000,105.978424,33400
2020-11-18,107.129997,107.559998,105.480003,105.669998,105.330513,48700
2020-11-19,105.480003,106.180000,105.059998,106.120003,105.779076,23400
2020-11-20,106.000000,106.870003,105.440002,106.739998,106.397072,38600
2020-11-23,108.000000,109.610001,107.800003,109.050003,108.699661,18300
2020-11-24,110.730003,111.580002,109.459999,110.809998,110.454002,68100
2020-11-25,110.279999,111.309998,109.680000,110.889999,110.533745,20300
2020-11-27,111.720001,111.949997,110.930000,111.949997,111.590340,19000
2020-11-30,112.320000,112.320000,109.480003,110.610001,110.254646,25700
2020-12-01,111.220001,112.330002,110.550003,111.029999,110.673294,344500
2020-12-02,110.279999,111.330002,109.550003,111.190002,110.832787,26900
2020-12-03,111.769997,112.449997,111.500000,111.879997,111.520561,37500
2020-12-04,112.449997,115.250000,112.449997,115.150002,114.780060,65200
2020-12-07,115.199997,115.839996,114.820000,115.410004,115.039230,41900
2020-12-08,114.589996,116.680000,114.589996,116.559998,116.185524,28900
2020-12-09,117.360001,117.570000,114.760002,115.400002,115.029259,30800
2020-12-10,114.809998,116.639999,113.879997,116.559998,116.185524,35300
2020-12-11,116.470001,116.900002,114.570000,115.480003,115.109001,45900
2020-12-14,116.529999,117.000000,115.360001,115.360001,115.360001,29800
2020-12-15,116.699997,117.790001,115.739998,117.750000,117.750000,35200
2020-12-16,118.730003,118.730003,117.269997,117.769997,117.769997,40000
